2015-10-01,U.S.,multimedia,30,The New York Times
2015-10-01,Science,multimedia,,The New York Times
2015-10-02,Styles,article,1500,The New York Times
2015-10-02,Styles,article,1190,The New York Times
2015-10-02,Styles,article,865,The New York Times
2015-10-01,Styles,article,1010,The New York Times
2015-10-02,Fashion & Style / Men’s Style,multimedia,9,The New York Times
2015-10-01,Multimedia/Photos,multimedia,,The New York Times
2015-10-02,Styles,article,487,The New York Times
2015-10-01,Fashion & Style,multimedia,34,The New York Times
2015-10-01,Styles,article,34,The New York Times
2015-10-02,Fashion & Style / Men’s Style,multimedia,,The New York Times
2015-10-02,Styles,article,679,The New York Times
2015-10-02,Styles,article,369,The New York Times
2015-10-01,Culture,article,503,The New York Times
2015-10-02,Fashion & Style / Men’s Style,multimedia,13,The New York Times
2015-10-02,Styles,article,407,The New York Times
2015-10-01,Culture,article,406,The New York Times
2015-10-01,National,article,697,The New York Times
2015-10-01,National,article,510,The New York Times
2015-10-01,Dealbook,article,566,The New York Times
2015-10-01,Foreign,article,1362,The New York Times
2015-10-01,Sports,article,1148,The New York Times
2015-10-01,National,article,961,The New York Times
2015-10-01,National,article,1402,The New York Times
2015-10-01,Metro,article,839,The New York Times
2015-10-01,Styles,article,1588,The New York Times
2015-10-01,Foreign,article,980,The New York Times
2015-10-01,Business,article,1256,The New York Times
2015-10-01,OpEd,article,923,The New York Times
2015-10-01,Foreign,article,232,The New York Times
2015-10-01,Foreign,article,1374,The New York Times
2015-10-01,Culture,article,1147,The New York Times
2015-10-01,Sports,article,910,The New York Times
2015-10-01,Business,article,1273,The New York Times
2015-10-01,OpEd,article,1034,The New York Times
2015-10-01,Foreign,article,663,The New York Times
2015-10-01,OpEd,article,845,The New York Times
2015-10-01,RealEstate,article,1027,The New York Times
2015-10-01,Editorial,article,354,The New York Times
2015-10-01,RealEstate,article,1191,The New York Times
2015-10-02,Business,article,594,The New York Times
2015-10-01,Foreign,article,1134,The New York Times
2015-10-01,Business,article,859,The New York Times
