Nat Gas market analysis for 6-8-01,1
Login Dow Jones,1
"Appointment Declined - Rod's - ""Finalize"" Hayslett organziation
 oraganization chart (?)",1
E: West Power guy,1
E: Confirmation: Risk Management Simulation Meeting 10/30/01,1
wd: Breaker Box,1
Minutes & Actions from today's UBS Start Up coordination meeting,1
Org. chart from Francisco Estrada re employees,1
E: TXU May 01,1
bruary Earnings Meeting,1
[enerfaxdaily] Natural Gas Futures Settle Slightly Higher,1
"2 Items: (1) 1 month $46 million pre-pay; (2) Michigan
 Consolidate Gas Company",1
Sun Devil Weekly update 1/25,1
Scheduling Activity Report,1
El Paso Arbitration,1
"New Splashproof Twin CD/CD-R Stereo/Radio for Every Room - Even the
 Shower!",1
OSTRIP Function in Exotica,1
E: ERCOT CSC Analysis & Meeting Agenda,1
Press Release Notification (08/29/00),1
nron online questions,1
EEL Directors and above,1
Alberta PPA DASH Draft,1
Constellation Power - CA,1
Start Date: 4/26/01; HourAhead hour: 19;  <CODESITE>,1
E: 2FEB NEWARK TO HOUSTON----ETKT,1
"Hewlett Packard/Enron Conference call regarding STORAGE SERVICES
 12/7 at 10 AM CST CANCELLED",1
"Class Request: XMS-822 XMS (Expense Management System) For New
 Users, Cathy Phillips",1
"Bay item 576466888 (Ends Apr-10-01 104814 PDT) - !!!!Green Is
 In!!!!! Erin Bud",1
Expanding Risk Management Search,1
Counterparty Summary,1
I've done it....,1
you around?,1
Let me know if you want a ride this afternoon,1
California ISO Credit,1
I know it's a week away,1
"Emergency Petition of ORA and TURN for Modification of
 Decisi	 on and Resolution on A.92-12-043 et al.",1
Moore Power Plant,1
ERC Judge's View of PNW Market,1
Sagewood II,1
Luncheon Reminder,1
"Dinner Reservations, Thursday, March 8th -",1
E: Bank release,1
MG Inventory Summaries,1
E: SYSTEMS UPDATE MEETING WITH STAN HORTON,1
"November Baseload Transactions for Enron (West Desk) as of
 10/31/2001 - FINAL",1
Katie's present,1
Lose 10 Pounds by Nov. 19th!!,1
LIPA Deal,1
Zimin's father,1
"Price Reservations 27 July 2001 Real-TIme Market and 28 July 2001
 Day-Ahead Market",1
E: THIS IS A SURVEY - ONE QUESTION,1
"Action Requested:  Invoice Requires Coding/Issue
 Resolution/Approval for User: MICHELLE LOKAY",1
Cal Berkeley Recruiting,1
"ISDA PRESS REPORT - MAY 18, 2001",1
E: Liquids Group-- Payment Netting Agreements,1
E: Universal Access,1
Name Overlays 0507,1
sponse to LADWP Complaint,1
fundies meeting,1
"=?ANSI_X3.4-1968?Q?THE_DOCTOR=01,S_OFFICE?=",1
E: conf call,1
Monthly ENA Update -- AS OF SEPT 5 01,1
Seminars,1
TW Weekly 1/19/01,1
"Potential Lawsuit Versus Copel, Petrobras, Compagas, and
 Compagas Board Members",1
Start Date: 10/24/01; HourAhead hour: 22;  <CODESITE>,1
Southwest Region Environmental Roundtable Oct. 16-18,1
Start Date: 10/17/01; HourAhead hour: 3;  <CODESITE>,1
"A$M and its ""second tier"" status",1
EGT Capacity Report Monday Nov 12,1
orce Majeure Protocol,1
TCo and Gulf Capacity for April 2001,1
E: CANCELLED-Power Origination Mtg. tomorrow 10/30/01,1
deral Legislative Update,1
Edison Attempting to Get ESPs to Agree to Charges for DA Customers,1
Indian Mesa,1
Draft of Organizational Announcement,1
My postal code and phone number,1
passing on the technicals for Nymex contracts for July 30th,1
Action Requested:  Past Due Invoice for User: JEFFREY HODGE,1
New pricing for HL&P at San Jac due to Swaps.,1
"w: IEP CPUC Monitoring: Results Summary of CPUC 1/4/01 Business
 Meeting and Decision on Rate Surcharge",1
Unexercised Vested Options - 68%,1
SENT ON BEHALF OF MIKE TELLE,1
Stewart Seeligson,1
YI...,1
Length off-peak at Palo Verde,1
new org regions,1
"PG&E GTN November 30, 2001 RP02-  -000 Fuel Surcharge Filing",1
ind Disclosure Schedule Information,1
Lindon's resume,1
ISN Ones to Watch: Plain Vanilla Or Rocky Road?,1
Details on Simulcast,1
E: EOTT LC,1
E: RMW EG Pricelist.xls,1
New Turn-ons,1
Party for Marie,1
"Transfer an incoming call to "" Voice Mail """,1
Line Walking -- Osage Co. OK.,1
"E: DPL Demand,",1
EF and WBCSD report,1
Trco VNG for the 8th,1
Carr Futures Research : Industrial Production,1
orm 144: Filing to Sell 100040 Shares of MPHASE TECH COM (X,1
"E: Memo regarding Enron/Dynegy Agreement and Plan of Merger -
 Compliance with the Conduct of Business Covenants",1
ill Hixon - UT Candidate,1
How goes that CIBC assignment?,1
EMAZING Internet Tip of the Day - The Internet's Integrated Future,1
Sue's Schedule for week of 10/25,1
new econophysics course,1
CommodityLogic Off-site,1
ree $125 Shopping Spree from MyFree.com!,1
AP Transmission Report Posted,1
"Mtg Time Change -Transitional Steering Committee Meeting - 2/6 @
 12:30 pm. CST/ 1:30 p.m. EST",1
sponsive Data for Seattle and Tacoma,1
"CAISO Notice: Market Participants and Scheduling Coordinators --
 	CPUC subpoena",1
Daily Gas News - 2/20/02,1
Davis Press Conference,1
Data Request on Phase VI - Non Environmental,1
Conference Call Re CA Contract Risk Issues,1
Ardmore facilities,1
Trading Track Information,1
ALLYSON ZYKORIE RESIGNATION,1
Teal Lodge,1
Public Report 10-06,1
[Footballguys] News Update - More On Anthony Thomas,1
E: Strangers' Gas Counterproposal,1
PRAYER IS AWESOME!,1
E: PEP Suggested Review,1
BROWN BAG REMINDER: Open Enrollment for Benefits (10.26.01),1
Enron Louisiana Mtg. 8/3,1
DWR Paid their bills in FULL for FEB 2001,1
Satisfy your Jenna Jameson DesiresL,1
ESUME - Robert Goerner,1
Brazil Daily Apr 18,1
"Morning Market View for December 24, 2001",1
"E: Meeting w/PG&E this Friday, Right after DJ's Meeting",1
Missing in action,1
"CSFB Independent Power Weekly; IPPs Rose 5% Last Week; 7%Private
 Market Value Discount Remains",1
Outline for Children-Family Christmas Eve Service,1
Kathy's Resume,1
interesting weather deal,1
Kingman Review,1
daily hoil & undled and daily energy letter 2/5,1
STOCKFIRST Newsletter - 10/29/01,1
Enron Mentions -- 02/01/02,1
E: Dial-in Information - Conference Call,1
Start Date: 1/1/02; HourAhead hour: 22;,1
Demand Letter for Shannon Tyer to Amico Property,1
ERMS discounting project,1
ripple claims,1
Employee Stock Option Award,1
Improve in 2002,1
Poland's forecast; zloty and CPI,1
Update on Contributions,1
"Mtg. w/Barbara Gray, Bryan Redmond, Tom Martin & Anne Koehler",1
Pulp Weekly Meeting  - ROOM CHANGED,1
"June 7, 2001 - Small-cap and energy stocks",1
wd: RE: Beat the hell outta texas,1
Bid Points,1
"Bridgeline $50,000/month Fee",1
E: MAC Amendment,1
Enron & CreditDimensions,1
Midland Cogen Deal #780788,1
"Price Reservations 06 September 2001 Real-Time Market and 07
 September 2001 Day-Ahead Market",1
"Mirant Americas Development, Inc. CA",1
inal 8/13/01 Gas Violation,1
The expertfinder,1
A hard act to follow: the future for energy without Enron,1
NYISO S & P Working Group,1
New person for gas,1
IT Isolation,1
Start Date: 4/5/01; HourAhead hour: 5;  <CODESITE>,1
Canadian Counterparties,1
E: Fantasy Trade,1
Last Call for PGS June Seminars,1
jeep,1
<<Concur Expense Document>> - PMellacheruvu 6-05-01,1
PGE prepayment,1
Internal Resource Report,1
Nov Phys-Fin Volumes,1
Updated CES August FOM volumes,1
3rd rev Mar. 2000 Josey Ranch nom,1
Megawatt Daily Into Cinergy Hourly Index,1
Ponderosa Pine / Lone Star,1
E: PRC File,1
message/request for Ken Lay,1
NEWGen Release January 2002,1
USTR bilateral,1
Happy Happy,1
Service of Process,1
"Mexican Power Sector: On the Road to Reform--Can't Get There From
 Here? - CERA Insight",1
inancial Analysts' Reports for 10.17.00,1
New from FriedWire...,1
11/26/01 FINAL Violation Memos,1
deral lands issues for Energy Policy Debate,1
IA assignment,1
"(01-79) POSITION ADJUSTMENT DEADLINES FOR THE APRIL 2001 METAL AND
 ENERGY CONTRACTS",1
New Fall 2001 class WEDNESDAYS,1
Advice Letter Protest on SCE PX Credit,1
Suggestions to improve SEMPRA core aggregation program,1
Talking Points for Netco Employees,1
Calendars and reviews,1
"NDA-PurchasePooling, Inc.",1
E: my books post id's for 11/30,1
Dominion Imbalance statements,1
<<Concur Expense Document>> - Jan2002cellphone,1
utes Kobra Changes,1
E: Point Groups,1
ad This BEFORE You Holiday Shop - Great FREE Stuff Inside!,1
"uel Cell Investors To Gather - A Unique Networking Opportunity -
 Conference Selling Out!",1
Jeff pics,1
lood Sale on Saturday,1
A&A brown bag,1
Sunday's MoD Meeeting,1
w: Time & Friends,1
"(01-91) Exchange Selects GlobalView Software Inc. c for enymex
 Customer Interface Infrastructure",1
w: (Important),1
w: Oh my gosh,1
Mark to market,1
No more Hourly trades with IP,1
Bandwidth Trading Article,1
Metals Trading Back Office Support Meeting,1
New Site's URL,1
Site Profile Meeting,1
"Omnibus for Republic Airways Holdings, Inc.",1
Updated: Weapon X  overview,1
12th slot,1
Potential energy services deal in Japan,1
Enron in Action 09.04.01,1
NOMS / ACTUAL FLOW FOR 03/16 thru 3/18,1
Memorandum for ISDA U.S.Netting Legislation.DOC,1
Quart Speakers,1
ETS Toy & Food Drive,1
E: Perfromance Final Evaluations,1
ENA NNG Demarc APE Revision,1
San Juan Proposal,1
Enron suggested comments to Gov Davis,1
"Article detailing a new competitor in the back office outsourcing
 space",1
Loretta Lynch's press conference,1
Get a Visa Instantly! Credit History not a Problem!,1
Power transactions,1
3 free CD's AND free shipping? You bet. Details Inside,1
Pauline Wah,1
lease of Sigs,1
Cinergy contact for Ben,1
ree $10 Three Team Parlay,1
HEA Annual Meeting Notice - VOTE REQUIRED,1
Enron Direct Proposed Deal Structure Memo,1
Updated chart,1
ill Al Gore concede after Supreme Court ruling?,1
EOL Required Planning Mtg,1
D: LADWP GM release,1
Carlton Surcharge .0175,1
"Consolidated Edison Energy,Clatskanie, Lassen Municipal Utility",1
E: Request Submitted: Access Request 000000000083213,1
ortune Energy Inc- Credit W/S,1
KPMG,1
E283 Final for Jeff Dasovich,1
Candlestick Nat gas,1
E: BASE CONTRACT FOR SHORT-TERM,1
Email Receipt Confirmation,1
CLOSING STRAQDDLES HEAT AND GASOLINE,1
Data Query|||EID: <24606> ERe: <0>,1
Broadband Direct,1
Year end earnings release date,1
California Capacity Report for Week of 3/12-3/16:,1
OU Update,1
new mids needed,1
Living Arrangements,1
E: Thursday Night,1
Allegheny Energy ETA,1
"SB - Lunch with Ted Jacobs, Tim Rasnic, Brenda Peters, Lexi
 Elliott, Jody Crook",1
Q&A for Supervisors,1
Daily Requirements for 9/18 and 9/19,1
trade counts - US Power and Gas Breakout,1
GISB EEI Letter -- with the attachment,1
Dynegy 2002 Plan,1
Start Date: 10/16/01; HourAhead hour: 10;  <CODESITE>,1
met at Davenport Dinner,1
Email down for awhile!!,1
Midamerican Meter,1
Article: 'Baltic set to Slug it out with Enron',1
Memo,1
"The FERC staff report on western markets and the causes of the
 Summer 2000 Price Abormalities, entit",1
SBX 1 - Windfall Profits Tax,1
E: Dan Larcamp request,1
E: Origination to be granted to EdeM,1
Start Date: 4/9/01; HourAhead hour: 18;  <CODESITE>,1
E: NDA Elite Brokers,1
